specialite,zone_inscription,effectifs
Psychiatrie,Cher,11
Radio-diagnostic et imagerie medicale,Cher,21
Radio-therapie,Cher,2
Reanimation medicale,Cher,0
Recherche medicale,Cher,0
Rhumatologie,Cher,5
Sante publique et medecine sociale,Cher,0
Generalistes,Cher,239
Medecine generale,Cher,239
Ensemble des specialites d'exercice,Correze,321
Specialistes,Correze,115
Anatomie et cytologie pathologiques,Correze,3
Anesthesie-reanimation,Correze,11
Biologie medicale,Correze,6
Cardiologie et maladies vasculaires,Correze,5
Chirurgie generale,Correze,5
Chirurgie maxillo-faciale et stomatologie,Correze,5
Chirurgie orthopedique et traumatologie,Correze,6
Chirurgie infantile,Correze,1
Chirurgie plastique reconstructrice et esthetique,Correze,2
Chirurgie thoracique et cardio-vasculaire,Correze,0
Chirurgie urologique,Correze,3
Chirurgie vasculaire,Correze,1
Chirurgie viscerale et digestive,Correze,1
Dermatologie et venereologie,Correze,3
Endocrinologie et metabolisme,Correze,4
Genetique medicale,Correze,0
Geriatrie,Correze,0
Gynecologie medicale,Correze,2
Gynecologie-obstetrique,Correze,6
Hematologie,Correze,0
Gastro-enterologie et hepatologie,Correze,8
Medecine du travail,Correze,0
Medecine interne,Correze,0
Medecine nucleaire,Correze,2
Medecine physique et readaptation,Correze,1
Nephrologie,Correze,0
Neuro-chirurgie,Correze,0
Neurologie,Correze,0
O.R.L et chirurgie cervico faciale,Correze,4
Oncologie option medicale,Correze,0
Ophtalmologie,Correze,12
Pediatrie,Correze,3
Pneumologie,Correze,3
Psychiatrie,Correze,6
Radio-diagnostic et imagerie medicale,Correze,11
Radio-therapie,Correze,0
Reanimation medicale,Correze,0
Recherche medicale,Correze,0
Rhumatologie,Correze,1
Sante publique et medecine sociale,Correze,0
Generalistes,Correze,206
Medecine generale,Correze,206
Ensemble des specialites d'exercice,Correze,325
Specialistes,Correze,113
Anatomie et cytologie pathologiques,Correze,3
Anesthesie-reanimation,Correze,14
Biologie medicale,Correze,5
Cardiologie et maladies vasculaires,Correze,5
Chirurgie generale,Correze,6
Chirurgie maxillo-faciale et stomatologie,Correze,5
Chirurgie orthopedique et traumatologie,Correze,6
Chirurgie infantile,Correze,0
Chirurgie plastique reconstructrice et esthetique,Correze,2
Chirurgie thoracique et cardio-vasculaire,Correze,0
Chirurgie urologique,Correze,3
Chirurgie vasculaire,Correze,1
Chirurgie viscerale et digestive,Correze,1
Dermatologie et venereologie,Correze,4
Endocrinologie et metabolisme,Correze,3
Genetique medicale,Correze,0
Geriatrie,Correze,0
Gynecologie medicale,Correze,2
Gynecologie-obstetrique,Correze,5
Hematologie,Correze,0
Gastro-enterologie et hepatologie,Correze,7
Medecine du travail,Correze,0
Medecine interne,Correze,0
Medecine nucleaire,Correze,2
Medecine physique et readaptation,Correze,1
Nephrologie,Correze,0
Neuro-chirurgie,Correze,0
Neurologie,Correze,0
O.R.L et chirurgie cervico faciale,Correze,2
Oncologie option medicale,Correze,0
Ophtalmologie,Correze,12
Pediatrie,Correze,2
Pneumologie,Correze,3
Psychiatrie,Correze,6
Radio-diagnostic et imagerie medicale,Correze,12
Radio-therapie,Correze,0
Reanimation medicale,Correze,0
Recherche medicale,Correze,0
Rhumatologie,Correze,1
Sante publique et medecine sociale,Correze,0
Generalistes,Correze,212
Medecine generale,Correze,212
Ensemble des specialites d'exercice,Cote-dOr,793
Specialistes,Cote-dOr,306
Anatomie et cytologie pathologiques,Cote-dOr,4
Anesthesie-reanimation,Cote-dOr,36
Biologie medicale,Cote-dOr,2
Cardiologie et maladies vasculaires,Cote-dOr,16
Chirurgie generale,Cote-dOr,9
Chirurgie maxillo-faciale et stomatologie,Cote-dOr,7
Chirurgie orthopedique et traumatologie,Cote-dOr,18
Chirurgie infantile,Cote-dOr,0
Chirurgie plastique reconstructrice et esthetique,Cote-dOr,7
Chirurgie thoracique et cardio-vasculaire,Cote-dOr,0
Chirurgie urologique,Cote-dOr,3
Chirurgie vasculaire,Cote-dOr,3
Chirurgie viscerale et digestive,Cote-dOr,6
Dermatologie et venereologie,Cote-dOr,22
Endocrinologie et metabolisme,Cote-dOr,3
Genetique medicale,Cote-dOr,0
Geriatrie,Cote-dOr,0
Gynecologie medicale,Cote-dOr,14
Gynecologie-obstetrique,Cote-dOr,15
Hematologie,Cote-dOr,1
Gastro-enterologie et hepatologie,Cote-dOr,7
Medecine du travail,Cote-dOr,0
Medecine interne,Cote-dOr,0
Medecine nucleaire,Cote-dOr,6
Medecine physique et readaptation,Cote-dOr,2
Nephrologie,Cote-dOr,0
Neuro-chirurgie,Cote-dOr,0
Neurologie,Cote-dOr,1
O.R.L et chirurgie cervico faciale,Cote-dOr,9
Oncologie option medicale,Cote-dOr,1
Ophtalmologie,Cote-dOr,27
Pediatrie,Cote-dOr,6
Pneumologie,Cote-dOr,2
Psychiatrie,Cote-dOr,24
Radio-diagnostic et imagerie medicale,Cote-dOr,43
Radio-therapie,Cote-dOr,5
Reanimation medicale,Cote-dOr,0
Recherche medicale,Cote-dOr,0
Rhumatologie,Cote-dOr,7
Sante publique et medecine sociale,Cote-dOr,0
Generalistes,Cote-dOr,487
Medecine generale,Cote-dOr,487
Ensemble des specialites d'exercice,Cote-dOr,794
Specialistes,Cote-dOr,305
Anatomie et cytologie pathologiques,Cote-dOr,4
Anesthesie-reanimation,Cote-dOr,35
Biologie medicale,Cote-dOr,1
Cardiologie et maladies vasculaires,Cote-dOr,15
Chirurgie generale,Cote-dOr,8
Chirurgie maxillo-faciale et stomatologie,Cote-dOr,7
Chirurgie orthopedique et traumatologie,Cote-dOr,17
Chirurgie infantile,Cote-dOr,0
Chirurgie plastique reconstructrice et esthetique,Cote-dOr,7
Chirurgie thoracique et cardio-vasculaire,Cote-dOr,0
Chirurgie urologique,Cote-dOr,3
Chirurgie vasculaire,Cote-dOr,4
Chirurgie viscerale et digestive,Cote-dOr,6
Dermatologie et venereologie,Cote-dOr,23
Endocrinologie et metabolisme,Cote-dOr,3
Genetique medicale,Cote-dOr,0
Geriatrie,Cote-dOr,0
Gynecologie medicale,Cote-dOr,14
Gynecologie-obstetrique,Cote-dOr,15
Hematologie,Cote-dOr,1
Gastro-enterologie et hepatologie,Cote-dOr,7
Medecine du travail,Cote-dOr,0
Medecine interne,Cote-dOr,0
Medecine nucleaire,Cote-dOr,5
Medecine physique et readaptation,Cote-dOr,2
Nephrologie,Cote-dOr,0
Neuro-chirurgie,Cote-dOr,1
Neurologie,Cote-dOr,1
O.R.L et chirurgie cervico faciale,Cote-dOr,8
Oncologie option medicale,Cote-dOr,1
Ophtalmologie,Cote-dOr,27
Pediatrie,Cote-dOr,8
Pneumologie,Cote-dOr,2
Psychiatrie,Cote-dOr,24
Radio-diagnostic et imagerie medicale,Cote-dOr,44
Radio-therapie,Cote-dOr,5
Reanimation medicale,Cote-dOr,0
Recherche medicale,Cote-dOr,0
Rhumatologie,Cote-dOr,7
Sante publique et medecine sociale,Cote-dOr,0
Generalistes,Cote-dOr,489
Medecine generale,Cote-dOr,489
Ensemble des specialites d'exercice,Cotes-dArmor,789
Specialistes,Cotes-dArmor,238
Anatomie et cytologie pathologiques,Cotes-dArmor,4
Anesthesie-reanimation,Cotes-dArmor,31
Biologie medicale,Cotes-dArmor,4
Cardiologie et maladies vasculaires,Cotes-dArmor,14
Chirurgie generale,Cotes-dArmor,5
Chirurgie maxillo-faciale et stomatologie,Cotes-dArmor,0
Chirurgie orthopedique et traumatologie,Cotes-dArmor,11
Chirurgie infantile,Cotes-dArmor,0
Chirurgie plastique reconstructrice et esthetique,Cotes-dArmor,1
Chirurgie thoracique et cardio-vasculaire,Cotes-dArmor,0
Chirurgie urologique,Cotes-dArmor,9
Chirurgie vasculaire,Cotes-dArmor,3
Chirurgie viscerale et digestive,Cotes-dArmor,5
Dermatologie et venereologie,Cotes-dArmor,10
Endocrinologie et metabolisme,Cotes-dArmor,1
Genetique medicale,Cotes-dArmor,0
Geriatrie,Cotes-dArmor,0
Gynecologie medicale,Cotes-dArmor,11
Gynecologie-obstetrique,Cotes-dArmor,5
Hematologie,Cotes-dArmor,0
Gastro-enterologie et hepatologie,Cotes-dArmor,9
Medecine du travail,Cotes-dArmor,0
Medecine interne,Cotes-dArmor,0
Medecine nucleaire,Cotes-dArmor,0
Medecine physique et readaptation,Cotes-dArmor,3
Nephrologie,Cotes-dArmor,0
Neuro-chirurgie,Cotes-dArmor,0
Neurologie,Cotes-dArmor,0
O.R.L et chirurgie cervico faciale,Cotes-dArmor,3
Oncologie option medicale,Cotes-dArmor,3
Ophtalmologie,Cotes-dArmor,26
Pediatrie,Cotes-dArmor,9
Pneumologie,Cotes-dArmor,5
Psychiatrie,Cotes-dArmor,20
Radio-diagnostic et imagerie medicale,Cotes-dArmor,31
Radio-therapie,Cotes-dArmor,4
Reanimation medicale,Cotes-dArmor,0
Recherche medicale,Cotes-dArmor,0
Rhumatologie,Cotes-dArmor,11
Sante publique et medecine sociale,Cotes-dArmor,0
Generalistes,Cotes-dArmor,551
Medecine generale,Cotes-dArmor,551
Ensemble des specialites d'exercice,Cotes-dArmor,810
Specialistes,Cotes-dArmor,248
Anatomie et cytologie pathologiques,Cotes-dArmor,4
Anesthesie-reanimation,Cotes-dArmor,30
Biologie medicale,Cotes-dArmor,4
Cardiologie et maladies vasculaires,Cotes-dArmor,13
Chirurgie generale,Cotes-dArmor,6
Chirurgie maxillo-faciale et stomatologie,Cotes-dArmor,0
Chirurgie orthopedique et traumatologie,Cotes-dArmor,11
Chirurgie infantile,Cotes-dArmor,0
Chirurgie plastique reconstructrice et esthetique,Cotes-dArmor,1
Chirurgie thoracique et cardio-vasculaire,Cotes-dArmor,0
Chirurgie urologique,Cotes-dArmor,9
Chirurgie vasculaire,Cotes-dArmor,3
Chirurgie viscerale et digestive,Cotes-dArmor,5
Dermatologie et venereologie,Cotes-dArmor,12
Endocrinologie et metabolisme,Cotes-dArmor,1
Genetique medicale,Cotes-dArmor,0
Geriatrie,Cotes-dArmor,0
Gynecologie medicale,Cotes-dArmor,13
Gynecologie-obstetrique,Cotes-dArmor,6
Hematologie,Cotes-dArmor,0
Gastro-enterologie et hepatologie,Cotes-dArmor,9
Medecine du travail,Cotes-dArmor,0
Medecine interne,Cotes-dArmor,0
Medecine nucleaire,Cotes-dArmor,0
Medecine physique et readaptation,Cotes-dArmor,4
Nephrologie,Cotes-dArmor,0
Neuro-chirurgie,Cotes-dArmor,0
Neurologie,Cotes-dArmor,1
O.R.L et chirurgie cervico faciale,Cotes-dArmor,3
Oncologie option medicale,Cotes-dArmor,3
Ophtalmologie,Cotes-dArmor,26
Pediatrie,Cotes-dArmor,9
Pneumologie,Cotes-dArmor,5
Psychiatrie,Cotes-dArmor,20
Radio-diagnostic et imagerie medicale,Cotes-dArmor,35
Radio-therapie,Cotes-dArmor,4
Reanimation medicale,Cotes-dArmor,0
Recherche medicale,Cotes-dArmor,0
Rhumatologie,Cotes-dArmor,11
Sante publique et medecine sociale,Cotes-dArmor,0
Generalistes,Cotes-dArmor,562
Medecine generale,Cotes-dArmor,562
Ensemble des specialites d'exercice,Creuse,117
Specialistes,Creuse,35
Anatomie et cytologie pathologiques,Creuse,0
Anesthesie-reanimation,Creuse,6
Biologie medicale,Creuse,2
Cardiologie et maladies vasculaires,Creuse,2
Chirurgie generale,Creuse,1
Chirurgie maxillo-faciale et stomatologie,Creuse,0
Chirurgie orthopedique et traumatologie,Creuse,1
Chirurgie infantile,Creuse,0
Chirurgie plastique reconstructrice et esthetique,Creuse,0
Chirurgie thoracique et cardio-vasculaire,Creuse,0
Chirurgie urologique,Creuse,0
Chirurgie vasculaire,Creuse,0
Chirurgie viscerale et digestive,Creuse,0
Dermatologie et venereologie,Creuse,1
Endocrinologie et metabolisme,Creuse,1
Genetique medicale,Creuse,0
Geriatrie,Creuse,0
Gynecologie medicale,Creuse,1
Gynecologie-obstetrique,Creuse,0
Hematologie,Creuse,0
Gastro-enterologie et hepatologie,Creuse,1
Medecine du travail,Creuse,0
Medecine interne,Creuse,0
Medecine nucleaire,Creuse,0
Medecine physique et readaptation,Creuse,0
Nephrologie,Creuse,0
Neuro-chirurgie,Creuse,0
Neurologie,Creuse,1
O.R.L et chirurgie cervico faciale,Creuse,1
Oncologie option medicale,Creuse,0
Ophtalmologie,Creuse,5
Pediatrie,Creuse,2
Pneumologie,Creuse,0
Psychiatrie,Creuse,5
Radio-diagnostic et imagerie medicale,Creuse,2
Radio-therapie,Creuse,0
Reanimation medicale,Creuse,0
Recherche medicale,Creuse,0
Rhumatologie,Creuse,3
Sante publique et medecine sociale,Creuse,0
Generalistes,Creuse,82
Medecine generale,Creuse,82
Ensemble des specialites d'exercice,Creuse,117
Specialistes,Creuse,33
Anatomie et cytologie pathologiques,Creuse,0
Anesthesie-reanimation,Creuse,4
Biologie medicale,Creuse,1
Cardiologie et maladies vasculaires,Creuse,2
Chirurgie generale,Creuse,2
Chirurgie maxillo-faciale et stomatologie,Creuse,0
Chirurgie orthopedique et traumatologie,Creuse,1
Chirurgie infantile,Creuse,0
Chirurgie plastique reconstructrice et esthetique,Creuse,0
Chirurgie thoracique et cardio-vasculaire,Creuse,0
Chirurgie urologique,Creuse,0
Chirurgie vasculaire,Creuse,0
Chirurgie viscerale et digestive,Creuse,0
Dermatologie et venereologie,Creuse,1
Endocrinologie et metabolisme,Creuse,0
Genetique medicale,Creuse,0
Geriatrie,Creuse,0
Gynecologie medicale,Creuse,1
Gynecologie-obstetrique,Creuse,0
Hematologie,Creuse,0
Gastro-enterologie et hepatologie,Creuse,1
Medecine du travail,Creuse,0
Medecine interne,Creuse,0
Medecine nucleaire,Creuse,0
Medecine physique et readaptation,Creuse,0
Nephrologie,Creuse,0
Neuro-chirurgie,Creuse,0
Neurologie,Creuse,1
O.R.L et chirurgie cervico faciale,Creuse,1
Oncologie option medicale,Creuse,0
Ophtalmologie,Creuse,5
Pediatrie,Creuse,2
Pneumologie,Creuse,0
Psychiatrie,Creuse,6
Radio-diagnostic et imagerie medicale,Creuse,2
Radio-therapie,Creuse,0
Reanimation medicale,Creuse,0
Recherche medicale,Creuse,0
Rhumatologie,Creuse,3
Sante publique et medecine sociale,Creuse,0
Generalistes,Creuse,84
Medecine generale,Creuse,84
Ensemble des specialites d'exercice,Dordogne,570
Specialistes,Dordogne,202
Anatomie et cytologie pathologiques,Dordogne,4
Anesthesie-reanimation,Dordogne,16
Biologie medicale,Dordogne,6
Cardiologie et maladies vasculaires,Dordogne,13
Chirurgie generale,Dordogne,4
Chirurgie maxillo-faciale et stomatologie,Dordogne,3
Chirurgie orthopedique et traumatologie,Dordogne,9
Chirurgie infantile,Dordogne,0
Chirurgie plastique reconstructrice et esthetique,Dordogne,1
Chirurgie thoracique et cardio-vasculaire,Dordogne,0
Chirurgie urologique,Dordogne,5
Chirurgie vasculaire,Dordogne,0
Chirurgie viscerale et digestive,Dordogne,1
Dermatologie et venereologie,Dordogne,14
Endocrinologie et metabolisme,Dordogne,2
Genetique medicale,Dordogne,0
Geriatrie,Dordogne,0
Gynecologie medicale,Dordogne,9
Gynecologie-obstetrique,Dordogne,5
Hematologie,Dordogne,0
Gastro-enterologie et hepatologie,Dordogne,7
Medecine du travail,Dordogne,0
Medecine interne,Dordogne,0
Medecine nucleaire,Dordogne,2
Medecine physique et readaptation,Dordogne,3
Nephrologie,Dordogne,3
Neuro-chirurgie,Dordogne,0
Neurologie,Dordogne,1
O.R.L et chirurgie cervico faciale,Dordogne,9
Oncologie option medicale,Dordogne,2
Ophtalmologie,Dordogne,26
Pediatrie,Dordogne,6
Pneumologie,Dordogne,5
Psychiatrie,Dordogne,16
Radio-diagnostic et imagerie medicale,Dordogne,24
Radio-therapie,Dordogne,2
Reanimation medicale,Dordogne,0
Recherche medicale,Dordogne,0
Rhumatologie,Dordogne,4
Sante publique et medecine sociale,Dordogne,0
Generalistes,Dordogne,368
Medecine generale,Dordogne,368
Ensemble des specialites d'exercice,Dordogne,572
Specialistes,Dordogne,205
Anatomie et cytologie pathologiques,Dordogne,4
Anesthesie-reanimation,Dordogne,15
Biologie medicale,Dordogne,6
Cardiologie et maladies vasculaires,Dordogne,13
Chirurgie generale,Dordogne,5
Chirurgie maxillo-faciale et stomatologie,Dordogne,3
Chirurgie orthopedique et traumatologie,Dordogne,9
Chirurgie infantile,Dordogne,0
Chirurgie plastique reconstructrice et esthetique,Dordogne,1
Chirurgie thoracique et cardio-vasculaire,Dordogne,0
Chirurgie urologique,Dordogne,5
Chirurgie vasculaire,Dordogne,0
Chirurgie viscerale et digestive,Dordogne,1
Dermatologie et venereologie,Dordogne,15
Endocrinologie et metabolisme,Dordogne,2
Genetique medicale,Dordogne,0
Geriatrie,Dordogne,0
Gynecologie medicale,Dordogne,9
Gynecologie-obstetrique,Dordogne,5
Hematologie,Dordogne,0
Gastro-enterologie et hepatologie,Dordogne,7
Medecine du travail,Dordogne,0
Medecine interne,Dordogne,0
Medecine nucleaire,Dordogne,2
Medecine physique et readaptation,Dordogne,3
Nephrologie,Dordogne,3
Neuro-chirurgie,Dordogne,0
Neurologie,Dordogne,1
O.R.L et chirurgie cervico faciale,Dordogne,9
Oncologie option medicale,Dordogne,2
Ophtalmologie,Dordogne,27
Pediatrie,Dordogne,6
Pneumologie,Dordogne,5
Psychiatrie,Dordogne,15
Radio-diagnostic et imagerie medicale,Dordogne,25
Radio-therapie,Dordogne,2
Reanimation medicale,Dordogne,0
Recherche medicale,Dordogne,0
Rhumatologie,Dordogne,5
Sante publique et medecine sociale,Dordogne,0
Generalistes,Dordogne,367
Medecine generale,Dordogne,367
Ensemble des specialites d'exercice,Doubs,904
Specialistes,Doubs,337
Anatomie et cytologie pathologiques,Doubs,7
Anesthesie-reanimation,Doubs,25
Biologie medicale,Doubs,5
Cardiologie et maladies vasculaires,Doubs,23
Chirurgie generale,Doubs,7
Chirurgie maxillo-faciale et stomatologie,Doubs,6
Chirurgie orthopedique et traumatologie,Doubs,16
Chirurgie infantile,Doubs,0
Chirurgie plastique reconstructrice et esthetique,Doubs,3
Chirurgie thoracique et cardio-vasculaire,Doubs,0
Chirurgie urologique,Doubs,7
Chirurgie vasculaire,Doubs,5
Chirurgie viscerale et digestive,Doubs,4
Dermatologie et venereologie,Doubs,29
Endocrinologie et metabolisme,Doubs,5
Genetique medicale,Doubs,0
Geriatrie,Doubs,0
Gynecologie medicale,Doubs,6
Gynecologie-obstetrique,Doubs,15
Hematologie,Doubs,0
Gastro-enterologie et hepatologie,Doubs,13
Medecine du travail,Doubs,0
Medecine interne,Doubs,2
Medecine nucleaire,Doubs,3
Medecine physique et readaptation,Doubs,3
Nephrologie,Doubs,0
Neuro-chirurgie,Doubs,2
Neurologie,Doubs,5
O.R.L et chirurgie cervico faciale,Doubs,14
Oncologie option medicale,Doubs,0
Ophtalmologie,Doubs,26
Pediatrie,Doubs,16
Pneumologie,Doubs,5
Psychiatrie,Doubs,37
Radio-diagnostic et imagerie medicale,Doubs,37
Radio-therapie,Doubs,0
Reanimation medicale,Doubs,0
Recherche medicale,Doubs,0
Rhumatologie,Doubs,11
Sante publique et medecine sociale,Doubs,0
Generalistes,Doubs,567
Medecine generale,Doubs,567
Ensemble des specialites d'exercice,Doubs,942
Specialistes,Doubs,350
Anatomie et cytologie pathologiques,Doubs,7
Anesthesie-reanimation,Doubs,24
Biologie medicale,Doubs,5
Cardiologie et maladies vasculaires,Doubs,22
Chirurgie generale,Doubs,7
Chirurgie maxillo-faciale et stomatologie,Doubs,6
Chirurgie orthopedique et traumatologie,Doubs,14
Chirurgie infantile,Doubs,0
Chirurgie plastique reconstructrice et esthetique,Doubs,2
Chirurgie thoracique et cardio-vasculaire,Doubs,0
Chirurgie urologique,Doubs,7
Chirurgie vasculaire,Doubs,7
Chirurgie viscerale et digestive,Doubs,4
Dermatologie et venereologie,Doubs,30
Endocrinologie et metabolisme,Doubs,5
Genetique medicale,Doubs,0
Geriatrie,Doubs,1
Gynecologie medicale,Doubs,7
Gynecologie-obstetrique,Doubs,16
Hematologie,Doubs,0
Gastro-enterologie et hepatologie,Doubs,15
Medecine du travail,Doubs,0
Medecine interne,Doubs,2
Medecine nucleaire,Doubs,3
Medecine physique et readaptation,Doubs,3
Nephrologie,Doubs,1
Neuro-chirurgie,Doubs,2
Neurologie,Doubs,6
O.R.L et chirurgie cervico faciale,Doubs,15
Oncologie option medicale,Doubs,0
Ophtalmologie,Doubs,28
Pediatrie,Doubs,17
Pneumologie,Doubs,5
Psychiatrie,Doubs,39
Radio-diagnostic et imagerie medicale,Doubs,37
Radio-therapie,Doubs,2
Reanimation medicale,Doubs,0
Recherche medicale,Doubs,0
Rhumatologie,Doubs,11
Sante publique et medecine sociale,Doubs,0
Generalistes,Doubs,592
Medecine generale,Doubs,592
Ensemble des specialites d'exercice,Drome,755
Specialistes,Drome,284
Anatomie et cytologie pathologiques,Drome,5
Anesthesie-reanimation,Drome,20
Biologie medicale,Drome,3
Cardiologie et maladies vasculaires,Drome,19
Chirurgie generale,Drome,5
Chirurgie maxillo-faciale et stomatologie,Drome,7
Chirurgie orthopedique et traumatologie,Drome,10
Chirurgie infantile,Drome,0
Chirurgie plastique reconstructrice et esthetique,Drome,4
Chirurgie thoracique et cardio-vasculaire,Drome,0
Chirurgie urologique,Drome,3
Chirurgie vasculaire,Drome,0
Chirurgie viscerale et digestive,Drome,3
Dermatologie et venereologie,Drome,19
Endocrinologie et metabolisme,Drome,5
Genetique medicale,Drome,0
